     Wavelength 	    Spectrum #1 	 
       744.8776 	        0.47494 	 
        746.095 	        0.47737 	 
       747.3126 	        0.47971 	 
       748.5303 	        0.48194 	 
       749.7481 	        0.48408 	 
       750.9661 	        0.48613 	 
       752.1842 	        0.48808 	 
       753.4023 	        0.48991 	 
       754.6207 	        0.49162 	 
       755.8391 	        0.49319 	 
       757.0576 	        0.49466 	 
       758.2763 	        0.49609 	 
       759.4951 	        0.49752 	 
       760.7139 	        0.49892 	 
       761.9329 	        0.50019 	 
        763.152 	        0.50126 	 
       764.3712 	        0.50213 	 
       765.5905 	        0.50285 	 
       766.8099 	        0.50347 	 
       768.0294 	        0.50403 	 
        769.249 	        0.50456 	 
       770.4687 	        0.50505 	 
       771.6884 	        0.50549 	 
       772.9083 	        0.50587 	 
       774.1282 	        0.50619 	 
       775.3483 	        0.50646 	 
       776.5684 	        0.50672 	 
       777.7886 	        0.50695 	 
       779.0089 	        0.50715 	 
       780.2292 	        0.50731 	 
       781.4497 	        0.50742 	 
       782.6702 	        0.50749 	 
       783.8907 	        0.50754 	 
       785.1114 	        0.50758 	 
       786.3321 	        0.50761 	 
       787.5529 	        0.50762 	 
       788.7737 	        0.50758 	 
       789.9946 	        0.50748 	 
       791.2156 	        0.50732 	 
       792.4366 	        0.50714 	 
       793.6577 	        0.50696 	 
       794.8788 	        0.50682 	 
          796.1 	        0.50668 	 
       797.3212 	        0.50655 	 
       798.5425 	        0.50639 	 
       799.7638 	        0.50621 	 
       800.9852 	        0.50601 	 
       802.2066 	        0.50579 	 
       803.4281 	        0.50555 	 
       804.6496 	         0.5053 	 
       805.8711 	        0.50506 	 
       807.0926 	        0.50485 	 
       808.3142 	         0.5047 	 
       809.5359 	        0.50461 	 
       810.7575 	        0.50455 	 
       811.9792 	        0.50451 	 
       813.2009 	        0.50446 	 
       814.4226 	        0.50438 	 
       815.6443 	        0.50424 	 
       816.8661 	        0.50406 	 
       818.0879 	        0.50386 	 
       819.3097 	        0.50368 	 
       820.5315 	        0.50352 	 
       821.7533 	        0.50335 	 
       822.9751 	        0.50316 	 
       824.1969 	        0.50295 	 
       825.4187 	        0.50276 	 
       826.6406 	        0.50261 	 
       827.8624 	        0.50248 	 
       829.0842 	        0.50236 	 
        830.306 	        0.50224 	 
       831.5279 	        0.50212 	 
       832.7497 	          0.502 	 
       833.9715 	         0.5019 	 
       835.1933 	        0.50181 	 
        836.415 	        0.50172 	 
       837.6368 	        0.50163 	 
       838.8585 	        0.50154 	 
       840.0803 	        0.50146 	 
        841.302 	        0.50139 	 
       842.5236 	        0.50131 	 
       843.7453 	        0.50124 	 
       844.9669 	        0.50117 	 
       846.1885 	        0.50113 	 
       847.4101 	        0.50112 	 
       848.6316 	        0.50112 	 
       849.8531 	        0.50116 	 
       851.0746 	        0.50123 	 
        852.296 	         0.5013 	 
       853.5174 	        0.50136 	 
       854.7387 	        0.50142 	 
         855.96 	        0.50152 	 
       857.1812 	        0.50164 	 
       858.4024 	        0.50176 	 
       859.6235 	        0.50189 	 
       860.8446 	        0.50203 	 
       862.0656 	        0.50219 	 
       863.2866 	        0.50237 	 
       864.5075 	        0.50256 	 
       865.7284 	        0.50277 	 
       866.9492 	          0.503 	 
       868.1699 	        0.50324 	 
       869.3905 	        0.50349 	 
       870.6111 	        0.50375 	 
       871.8316 	        0.50403 	 
